"Time","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-4cqcn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-5msjt_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6dd5g_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6htpq_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-m2qjb_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-cmsgr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-b9lwf_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-w685g_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-6rdwv_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-tjnnj_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-wjq9m_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-rrx7l_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-6pq62_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-btm5t_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-47ff6_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-hrdhl_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-5lk2q_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-k422t_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-t4h88_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-98g7k_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-gxwnj_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-knvll_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal"
2021-05-15 21:55:00,0.11,0.12,0.36,0.39,0.58,0.57,0.074,0.012,0.0094,0.095,0.13,0.42,0.35,0.54,0.53,0.094,0.0100,0.030,0.091,0.13,0.36,0.37,0.46,0.46,0.083,0.0093,0.023,0.10,0.12,0.36,0.34,0.56,0.56,0.075,0.011,0.022
2021-05-15 21:55:30,0.11,0.14,0.39,0.40,0.59,0.59,0.078,0.011,0.011,0.096,0.12,0.43,0.35,0.53,0.53,0.097,0.0099,0.029,0.10,0.13,0.38,0.40,0.50,0.50,0.085,0.0091,0.021,0.098,0.12,0.37,0.37,0.55,0.50,0.075,0.011,0.023
2021-05-15 21:56:00,0.10,0.14,0.38,0.42,0.60,0.59,0.080,0.011,0.015,0.097,0.13,0.40,0.36,0.54,0.53,0.097,0.0099,0.028,0.11,0.13,0.38,0.40,0.50,0.48,0.087,0.0091,0.022,0.10,0.11,0.37,0.39,0.56,0.59,0.074,0.010,0.019
2021-05-15 21:56:30,0.11,0.14,0.38,0.39,0.59,0.59,0.079,0.011,0.017,0.098,0.12,0.40,0.36,0.54,0.53,0.094,0.0100,0.025,0.10,0.12,0.37,0.38,0.50,0.50,0.090,0.0086,0.023,0.098,0.10,0.36,0.41,0.54,0.56,0.076,0.011,0.019
2021-05-15 21:57:00,0.11,0.14,0.39,0.40,0.59,0.59,0.080,0.011,0.020,0.11,0.12,0.38,0.37,0.54,0.54,0.092,0.010,0.024,0.11,0.12,0.39,0.39,0.50,0.50,0.095,0.0091,0.020,0.092,0.11,0.38,0.40,0.54,0.54,0.079,0.010,0.021
2021-05-15 21:57:30,0.11,0.14,0.40,0.37,0.59,0.59,0.082,0.011,0.022,0.11,0.12,0.40,0.37,0.54,0.54,0.093,0.010,0.023,0.10,0.11,0.42,0.38,0.49,0.50,0.096,0.0086,0.021,0.095,0.12,0.39,0.38,0.55,0.56,0.072,0.011,0.024
2021-05-15 21:58:00,0.11,0.14,0.40,0.38,0.59,0.59,0.082,0.011,0.023,0.11,0.12,0.39,0.37,0.54,0.54,0.095,0.010,0.023,0.10,0.089,0.40,0.39,0.50,0.48,0.094,0.0082,0.020,0.095,0.13,0.36,0.39,0.56,0.53,0.072,0.010,0.022
2021-05-15 21:58:30,0.10,0.15,0.40,0.36,0.59,0.59,0.081,0.011,0.021,0.11,0.11,0.40,0.38,0.54,0.54,0.095,0.010,0.026,0.10,0.10,0.39,0.37,0.50,0.48,0.095,0.0087,0.020,0.084,0.13,0.39,0.37,0.57,0.53,0.071,0.010,0.023
2021-05-15 21:59:00,0.10,0.16,0.40,0.37,0.59,0.59,0.081,0.011,0.020,0.11,0.10,0.39,0.39,0.54,0.54,0.094,0.010,0.026,0.10,0.11,0.42,0.38,0.49,0.50,0.096,0.0085,0.020,0.088,0.13,0.40,0.37,0.54,0.59,0.070,0.010,0.022
2021-05-15 21:59:30,0.11,0.15,0.40,0.36,0.59,0.59,0.080,0.011,0.022,0.10,0.11,0.41,0.38,0.54,0.54,0.093,0.0100,0.024,0.10,0.10,0.41,0.38,0.50,0.50,0.092,0.0090,0.019,0.092,0.13,0.34,0.37,0.55,0.54,0.070,0.010,0.024
