"Time","pod:adservice-f8889f7f6-9zx54_service:adservice_node:worker--1.novalocal","pod:cartservice-6dbb545b6b-h6n26_service:cartservice_node:worker--1.novalocal","pod:checkoutservice-56767b8d85-gntj5_service:checkoutservice_node:worker--1.novalocal","pod:currencyservice-69688b568f-9rrcn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-69688b568f-sdb58_service:currencyservice_node:worker--1.novalocal","pod:frontend-5f588cbb54-b2blk_service:frontend_node:worker--1.novalocal","pod:frontend-5f588cbb54-n4lxl_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-68fb699cf7-wd52c_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-659d8578c8-89t4p_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-79479c85b5-5xkpf_service:redis-cart_node:worker--1.novalocal","pod:shippingservice-6c4f446b6b-ggqk2_service:shippingservice_node:worker--1.novalocal","pod:adservice-f8889f7f6-xjxdj_service:adservice_node:worker--2.novalocal","pod:cartservice-6dbb545b6b-wlnpm_service:cartservice_node:worker--2.novalocal","pod:currencyservice-69688b568f-cjvqm_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-69688b568f-ttptq_service:currencyservice_node:worker--2.novalocal","pod:frontend-5f588cbb54-hts4q_service:frontend_node:worker--2.novalocal","pod:frontend-5f588cbb54-z2d79_service:frontend_node:worker--2.novalocal","pod:paymentservice-7c47565f9d-rtmrd_service:paymentservice_node:worker--2.novalocal","pod:productcatalogservice-68fb699cf7-xw2zz_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-659d8578c8-qwbg7_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-79479c85b5-6w7tb_service:redis-cart_node:worker--2.novalocal","pod:adservice-f8889f7f6-29wxz_service:adservice_node:worker--3","pod:cartservice-6dbb545b6b-g7ll6_service:cartservice_node:worker--3","pod:currencyservice-69688b568f-9m7lq_service:currencyservice_node:worker--3","pod:currencyservice-69688b568f-mj2nd_service:currencyservice_node:worker--3","pod:frontend-5f588cbb54-46pdk_service:frontend_node:worker--3","pod:frontend-5f588cbb54-hjzwt_service:frontend_node:worker--3","pod:productcatalogservice-68fb699cf7-fxrwq_service:productcatalogservice_node:worker--3","pod:recommendationservice-659d8578c8-wcwsg_service:recommendationservice_node:worker--3","pod:redis-cart-79479c85b5-gdbjc_service:redis-cart_node:worker--3","pod:adservice-f8889f7f6-qbcp4_service:adservice_node:worker--4.novalocal","pod:cartservice-6dbb545b6b-h8cbz_service:cartservice_node:worker--4.novalocal","pod:currencyservice-69688b568f-59zt2_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-69688b568f-z8jjb_service:currencyservice_node:worker--4.novalocal","pod:emailservice-74767bf8cc-4mzjz_service:emailservice_node:worker--4.novalocal","pod:frontend-5f588cbb54-968r4_service:frontend_node:worker--4.novalocal","pod:frontend-5f588cbb54-gkk8w_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-68fb699cf7-wkzgf_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-659d8578c8-fj7vs_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-79479c85b5-cx2rt_service:redis-cart_node:worker--4.novalocal"
2021-05-13 17:27:30,0.073,0.11,0.0048,0.065,0.065,0.34,0.34,0.24,0.18,0.018,0.0065,0.077,0.095,0.065,0.070,0.29,0.30,0.0038,0.29,0.18,0.012,0.081,0.078,0.065,0.069,0.30,0.29,0.26,0.15,0.015,0.068,0.080,0.065,0.058,0.0082,0.33,0.35,0.27,0.14,0.022
2021-05-13 17:28:00,0.078,0.13,0.0047,0.071,0.070,0.37,0.37,0.26,0.20,0.021,0.0064,0.080,0.11,0.072,0.074,0.31,0.31,0.0037,0.30,0.19,0.011,0.085,0.072,0.073,0.073,0.31,0.31,0.28,0.16,0.015,0.075,0.084,0.065,0.064,0.0082,0.35,0.34,0.30,0.16,0.027
2021-05-13 17:28:30,0.078,0.13,0.0047,0.073,0.069,0.37,0.37,0.26,0.20,0.019,0.0064,0.078,0.098,0.073,0.073,0.31,0.31,0.0037,0.30,0.19,0.010,0.085,0.089,0.075,0.071,0.32,0.32,0.27,0.16,0.015,0.068,0.077,0.070,0.062,0.0087,0.35,0.35,0.32,0.15,0.026
2021-05-13 17:29:00,0.080,0.13,0.0046,0.072,0.071,0.37,0.37,0.27,0.20,0.018,0.0064,0.073,0.094,0.075,0.075,0.31,0.31,0.0038,0.30,0.20,0.0097,0.089,0.100,0.069,0.070,0.32,0.32,0.25,0.15,0.013,0.070,0.058,0.067,0.063,0.0088,0.34,0.35,0.28,0.15,0.030
2021-05-13 17:29:30,0.082,0.14,0.0046,0.072,0.071,0.37,0.37,0.28,0.19,0.017,0.0065,0.073,0.085,0.076,0.076,0.31,0.31,0.0037,0.30,0.20,0.0077,0.090,0.096,0.070,0.069,0.32,0.32,0.28,0.16,0.013,0.072,0.068,0.070,0.062,0.0088,0.33,0.34,0.29,0.15,0.033
2021-05-13 17:30:00,0.083,0.14,0.0045,0.072,0.071,0.37,0.37,0.28,0.19,0.016,0.0065,0.073,0.084,0.075,0.077,0.31,0.31,0.0037,0.30,0.20,0.0065,0.089,0.10,0.072,0.069,0.31,0.32,0.26,0.16,0.014,0.073,0.069,0.071,0.058,0.0082,0.34,0.34,0.31,0.16,0.038
2021-05-13 17:30:30,0.082,0.13,0.0045,0.073,0.074,0.37,0.37,0.28,0.18,0.017,0.0065,0.074,0.085,0.076,0.076,0.31,0.31,0.0037,0.30,0.20,0.0055,0.089,0.10,0.071,0.069,0.32,0.32,0.28,0.16,0.015,0.073,0.069,0.068,0.061,0.0083,0.36,0.34,0.32,0.16,0.039
2021-05-13 17:31:00,0.082,0.13,0.0046,0.072,0.076,0.37,0.37,0.28,0.18,0.016,0.0066,0.073,0.079,0.076,0.073,0.31,0.31,0.0036,0.30,0.20,0.0050,0.089,0.10,0.074,0.068,0.32,0.32,0.27,0.15,0.014,0.077,0.069,0.072,0.063,0.0088,0.37,0.34,0.29,0.16,0.039
2021-05-13 17:31:30,0.083,0.15,0.0046,0.072,0.075,0.37,0.37,0.28,0.18,0.015,0.0066,0.074,0.074,0.076,0.072,0.31,0.31,0.0036,0.30,0.20,0.0050,0.083,0.11,0.073,0.069,0.31,0.32,0.27,0.15,0.013,0.074,0.061,0.068,0.065,0.0089,0.35,0.35,0.29,0.17,0.042
2021-05-13 17:32:00,0.085,0.14,0.0045,0.073,0.077,0.37,0.37,0.28,0.18,0.014,0.0066,0.075,0.090,0.076,0.073,0.31,0.31,0.0036,0.31,0.20,0.0049,0.086,0.094,0.072,0.067,0.31,0.31,0.27,0.15,0.013,0.080,0.071,0.068,0.055,0.0089,0.35,0.36,0.30,0.17,0.041
