"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 18:13:00,0.149,0.178,,0.546,0.547,0.746,0.742,0.140,0.00725,0.0272
2021-06-04 18:13:30,0.156,0.177,,0.536,0.565,0.700,0.689,0.141,0.00728,0.0250
2021-06-04 18:14:00,0.144,0.173,,0.525,0.537,0.714,0.695,0.142,0.00727,0.0250
2021-06-04 18:14:30,0.154,0.174,,0.571,0.525,0.696,0.726,0.149,0.00672,0.0263
2021-06-04 18:15:00,0.126,0.177,,0.490,0.507,0.688,0.740,0.153,0.00683,0.0225
2021-06-04 18:15:30,0.134,0.165,,0.479,0.502,0.701,0.741,0.147,0.00728,0.0236
2021-06-04 18:16:00,0.135,0.175,,0.452,0.492,0.720,0.696,0.143,0.00679,0.0242
2021-06-04 18:16:30,0.127,0.180,,0.509,0.470,0.753,0.709,0.146,0.00747,0.0227
2021-06-04 18:17:00,0.125,0.191,,0.485,0.487,0.699,0.692,0.145,0.00741,0.0234
2021-06-04 18:17:30,0.130,0.168,,0.456,0.481,0.683,0.687,0.141,0.00839,0.0231
2021-06-04 18:18:00,0.117,0.150,,0.388,0.429,0.575,0.581,0.128,0.00849,0.0189
2021-06-04 18:18:30,0.105,0.123,,0.318,0.355,0.493,0.485,0.110,0.0116,0.0163
