sep=,
"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 08:48:30,0.0486,0.0116,0.00605,0.00662,,0.00341,0.00306,0.0114,0.0192,0.00380
2021-06-04 08:49:00,0.0456,0.0115,0.00643,0.00661,,0.00342,0.00337,0.0114,0.0189,0.00396
2021-06-04 08:49:30,0.0490,0.0112,0.00640,0.00624,,0.00344,0.00302,0.0105,0.0165,0.00380
2021-06-04 08:50:00,0.0446,0.0112,0.00597,0.00622,,0.00330,0.00327,0.0115,0.0187,0.00396
2021-06-04 08:50:30,0.0494,0.0112,0.00590,0.00620,,0.00315,0.00284,0.0109,0.0178,0.00407
2021-06-04 08:51:00,0.0500,0.0106,0.00597,0.00632,,0.00332,0.00298,0.0104,0.0187,0.00408
2021-06-04 08:51:30,0.0471,0.0108,0.00581,0.00606,,0.00303,0.00319,0.0105,0.0188,0.00373
2021-06-04 08:52:00,0.0458,0.0116,0.00574,0.00576,,0.00303,0.00291,0.00987,0.0194,0.00396
2021-06-04 08:52:30,0.0455,0.0109,0.00630,0.00583,,0.00298,0.00298,0.0103,0.0195,0.00404
2021-06-04 08:53:00,0.0467,0.0109,0.00582,0.00613,,0.00296,0.00287,0.0101,0.0178,0.00377
2021-06-04 08:53:30,0.0468,0.0113,0.00565,0.00614,,0.00325,0.00309,0.0102,0.0182,0.00377
2021-06-04 08:54:00,0.0463,0.0105,0.00592,0.00586,,0.00293,0.00311,0.00998,0.0199,0.00363
2021-06-04 08:54:30,0.0496,0.0114,0.00602,0.00586,,0.00323,0.00309,0.0101,0.0184,0.00396
2021-06-04 08:55:00,0.0468,0.0106,0.00634,0.00556,,0.00327,0.00285,0.0108,0.0186,0.00365
2021-06-04 08:55:30,0.0462,0.0109,0.00591,0.00558,,0.00327,0.00294,0.0100,0.0187,0.00385
