"Time","pod:adservice-w1-54886b4b47-kj9dc_service:adservice_node:worker2.novalocal","pod:cartservice-w1-86597df9d4-kdk5s_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-cg2pl_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-sx4jl_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-mjcgv_service:frontend_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-vp5vb_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-77c466b55f-m2xgk_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-fdc8c8cfc-q6ph6_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-dn9t2_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-7465dbc648-q2qvb_service:adservice_node:worker3.novalocal","pod:cartservice-w2-66c74b9599-fxr49_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-7fz65_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-k4wvt_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-f5n8c_service:frontend_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-rmlf7_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-784f6478c6-mc2lj_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-77c8484698-2zlgj_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-9xm9x_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-58ccc4d7fc-pgf9s_service:adservice_node:worker4.novalocal","pod:cartservice-w3-58c67c4978-ztd4m_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-6hwl7_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-bgfcz_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-4spxn_service:frontend_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-ttq2n_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-74f6b749-pflxg_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-99846c447-pkvd6_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-v5q2f_service:redis-cart_node:worker4.novalocal","pod:adservice-w4-7db86c7d98-zqcbf_service:adservice_node:worker5.novalocal","pod:cartservice-w4-75f86c645b-tzmvb_service:cartservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-9w9d2_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-v6pwk_service:currencyservice_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-7drzx_service:frontend_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-nkp7r_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w4-78d496f678-dkb6f_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w4-6975b77b48-77dkc_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w4-f4cd458fc-gmndr_service:redis-cart_node:worker5.novalocal"
2021-06-04 13:18:30,0.0784,0.0862,0.242,0.267,0.342,0.335,0.0615,0.0109,0.0216,0.0762,0.143,0.221,0.243,0.337,0.334,0.0612,0.0105,0.0195,0.0785,0.0801,0.245,0.248,0.358,0.352,0.0476,0.0114,0.00316,0.0794,0.0857,0.250,0.244,0.353,0.356,0.0542,0.0120,0.0132
2021-06-04 13:19:00,0.0787,0.0854,0.244,0.265,0.343,0.337,0.0614,0.0110,0.0227,0.0757,0.139,0.229,0.237,0.340,0.325,0.0563,0.0106,0.0186,0.0789,0.0835,0.246,0.237,0.360,0.354,0.0479,0.0113,0.00316,0.0794,0.0940,0.250,0.261,0.350,0.353,0.0547,0.0117,0.0131
2021-06-04 13:19:30,0.0786,0.0843,0.254,0.261,0.343,0.336,0.0602,0.0110,0.0233,0.0764,0.127,0.225,0.236,0.339,0.336,0.0599,0.0104,0.0155,0.0810,0.0780,0.232,0.224,0.364,0.358,0.0484,0.0117,0.00316,0.0780,0.0986,0.261,0.260,0.348,0.350,0.0565,0.0114,0.0132
2021-06-04 13:20:00,0.0771,0.0863,0.268,0.265,0.338,0.333,0.0610,0.0108,0.0239,0.0760,0.117,0.237,0.246,0.338,0.308,0.0569,0.0105,0.0170,0.0789,0.0803,0.231,0.229,0.365,0.358,0.0474,0.0118,0.00318,0.0795,0.0984,0.255,0.242,0.349,0.353,0.0589,0.0115,0.0127
2021-06-04 13:20:30,0.0778,0.0839,0.259,0.274,0.338,0.333,0.0611,0.0110,0.0244,0.0748,0.110,0.240,0.256,0.337,0.324,0.0559,0.0107,0.0155,0.0789,0.0894,0.232,0.229,0.365,0.357,0.0454,0.0120,0.00314,0.0798,0.105,0.253,0.239,0.351,0.354,0.0594,0.0114,0.0143
2021-06-04 13:21:00,0.0791,0.0739,0.228,0.278,0.341,0.337,0.0610,0.0109,0.0244,0.0752,0.103,0.213,0.264,0.327,0.328,0.0586,0.00949,0.0151,0.0780,0.0926,0.249,0.257,0.359,0.353,0.0465,0.0119,0.00314,0.0800,0.108,0.247,0.243,0.351,0.354,0.0594,0.0115,0.0147
2021-06-04 13:21:30,0.0801,0.0820,0.226,0.269,0.342,0.339,0.0615,0.0110,0.0255,0.0742,0.103,0.213,0.245,0.343,0.340,0.0556,0.0111,0.0149,0.0782,0.0859,0.259,0.260,0.359,0.353,0.0452,0.0120,0.00314,0.0799,0.110,0.249,0.252,0.350,0.352,0.0610,0.0113,0.0144
2021-06-04 13:22:00,0.0802,0.0767,0.227,0.268,0.344,0.341,0.0614,0.0110,0.0260,0.0741,0.101,0.231,0.222,0.330,0.341,0.0549,0.0115,0.0143,0.0783,0.0843,0.258,0.247,0.363,0.355,0.0451,0.0119,0.00315,0.0806,0.119,0.241,0.263,0.349,0.349,0.0625,0.0112,0.0135
2021-06-04 13:22:30,0.0789,0.0803,0.236,0.261,0.342,0.339,0.0624,0.0110,0.0265,0.0729,0.0951,0.237,0.238,0.344,0.329,0.0566,0.0105,0.0141,0.0789,0.0866,0.244,0.249,0.363,0.356,0.0424,0.0119,0.00316,0.0809,0.118,0.250,0.256,0.345,0.346,0.0621,0.0110,0.0138
2021-06-04 13:23:00,0.0777,0.0775,0.226,0.247,0.322,0.321,0.0590,0.0114,0.0246,0.0732,0.0923,0.233,0.221,0.320,0.328,0.0560,0.0116,0.0134,0.0763,0.0838,0.216,0.228,0.333,0.324,0.0400,0.0122,0.00322,0.0791,0.107,0.235,0.235,0.327,0.324,0.0592,0.0117,0.0130
