"Time","pod:adservice-w1-54886b4b47-kj9dc_service:adservice_node:worker2.novalocal","pod:cartservice-w1-86597df9d4-kdk5s_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-cg2pl_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-sx4jl_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-mjcgv_service:frontend_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-vp5vb_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-77c466b55f-m2xgk_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-fdc8c8cfc-q6ph6_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-dn9t2_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-7465dbc648-q2qvb_service:adservice_node:worker3.novalocal","pod:cartservice-w2-66c74b9599-fxr49_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-7fz65_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-k4wvt_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-f5n8c_service:frontend_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-rmlf7_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-784f6478c6-mc2lj_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-77c8484698-2zlgj_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-9xm9x_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-58ccc4d7fc-pgf9s_service:adservice_node:worker4.novalocal","pod:cartservice-w3-58c67c4978-ztd4m_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-6hwl7_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-bgfcz_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-4spxn_service:frontend_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-ttq2n_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-74f6b749-pflxg_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-99846c447-pkvd6_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-v5q2f_service:redis-cart_node:worker4.novalocal","pod:adservice-w4-7db86c7d98-zqcbf_service:adservice_node:worker5.novalocal","pod:cartservice-w4-75f86c645b-tzmvb_service:cartservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-9w9d2_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-v6pwk_service:currencyservice_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-7drzx_service:frontend_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-nkp7r_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w4-78d496f678-dkb6f_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w4-6975b77b48-77dkc_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w4-f4cd458fc-gmndr_service:redis-cart_node:worker5.novalocal"
2021-06-04 17:50:00,0.0917,0.144,0.331,0.311,0.454,0.452,0.0691,0.00878,0.0358,0.0901,0.102,0.311,0.333,0.451,0.452,0.0793,0.00902,0.00238,0.0853,0.128,0.288,0.312,0.473,0.474,0.0723,0.00895,0.0170,0.0871,0.0996,0.347,0.370,0.439,0.438,0.0716,0.00827,0.0153
2021-06-04 17:50:30,0.0928,0.159,0.319,0.314,0.455,0.454,0.0688,0.00864,0.0378,0.0894,0.0926,0.318,0.325,0.456,0.437,0.0790,0.00905,0.00226,0.0853,0.147,0.308,0.316,0.467,0.468,0.0707,0.00890,0.0163,0.0850,0.0944,0.374,0.356,0.433,0.434,0.0728,0.00831,0.0145
2021-06-04 17:51:00,0.0926,0.167,0.313,0.313,0.456,0.454,0.0685,0.00863,0.0374,0.0891,0.0895,0.318,0.327,0.459,0.457,0.0788,0.00899,0.00228,0.0850,0.141,0.320,0.315,0.467,0.469,0.0741,0.00878,0.0145,0.0857,0.0879,0.367,0.364,0.432,0.433,0.0742,0.00841,0.0162
2021-06-04 17:51:30,0.0920,0.176,0.320,0.314,0.452,0.450,0.0691,0.00885,0.0358,0.0924,0.0936,0.326,0.312,0.446,0.457,0.0738,0.00902,0.00320,0.0869,0.124,0.301,0.317,0.472,0.473,0.0764,0.00895,0.0124,0.0859,0.100,0.376,0.348,0.432,0.434,0.0734,0.00832,0.0173
2021-06-04 17:52:00,0.0926,0.180,0.303,0.305,0.456,0.456,0.0673,0.00866,0.0332,0.0825,0.0954,0.331,0.317,0.456,0.456,0.0748,0.00907,0.00407,0.0880,0.126,0.295,0.317,0.471,0.474,0.0790,0.00880,0.0106,0.0859,0.0946,0.383,0.351,0.427,0.430,0.0732,0.00844,0.0204
2021-06-04 17:52:30,0.0942,0.185,0.288,0.314,0.458,0.456,0.0669,0.00874,0.0320,0.0875,0.0868,0.328,0.337,0.455,0.455,0.0704,0.00855,0.00646,0.0881,0.119,0.311,0.312,0.470,0.472,0.0802,0.00880,0.00967,0.0846,0.0970,0.383,0.356,0.428,0.430,0.0711,0.00829,0.0210
2021-06-04 17:53:00,0.0917,0.188,0.289,0.325,0.457,0.455,0.0697,0.00857,0.0291,0.0843,0.0935,0.306,0.325,0.459,0.457,0.0731,0.00915,0.00732,0.0923,0.130,0.306,0.314,0.470,0.472,0.0763,0.00891,0.00816,0.0842,0.0955,0.381,0.351,0.430,0.433,0.0728,0.00847,0.0222
2021-06-04 17:53:30,0.0896,0.171,0.310,0.316,0.460,0.457,0.0704,0.00862,0.0252,0.0835,0.111,0.336,0.330,0.456,0.455,0.0690,0.00909,0.0118,0.0925,0.131,0.311,0.308,0.470,0.473,0.0764,0.00872,0.00723,0.0875,0.0845,0.357,0.368,0.431,0.433,0.0735,0.00845,0.0243
2021-06-04 17:54:00,0.0899,0.163,0.301,0.320,0.461,0.459,0.0720,0.00856,0.0243,0.0850,0.126,0.323,0.340,0.440,0.452,0.0706,0.00901,0.0144,0.0918,0.129,0.314,0.308,0.469,0.469,0.0742,0.00864,0.00624,0.0877,0.0847,0.375,0.350,0.433,0.435,0.0742,0.00871,0.0245
2021-06-04 17:54:30,0.0889,0.162,0.282,0.310,0.459,0.439,0.0708,0.00880,0.0237,0.0867,0.113,0.329,0.316,0.441,0.447,0.0700,0.00919,0.0165,0.0900,0.127,0.298,0.303,0.435,0.450,0.0702,0.00924,0.00376,0.0861,0.0797,0.355,0.343,0.415,0.428,0.0748,0.00916,0.0241
