"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 11:03:00,0.0737,0.126,0.237,0.282,,0.392,0.413,0.0775,0.00903,0.0162
2021-06-04 11:03:30,0.0786,0.127,0.273,0.290,,0.421,0.410,0.0729,0.00736,0.0176
2021-06-04 11:04:00,0.0825,0.119,0.316,0.258,,0.422,0.390,0.0703,0.00784,0.0178
2021-06-04 11:04:30,0.0833,0.129,0.321,0.277,,0.387,0.399,0.0688,0.00783,0.0178
2021-06-04 11:05:00,0.0785,0.125,0.321,0.263,,0.406,0.370,0.0735,0.00799,0.0178
2021-06-04 11:05:30,0.0776,0.119,0.338,0.245,,0.404,0.372,0.0704,0.00800,0.0159
2021-06-04 11:06:00,0.0802,0.121,0.358,0.222,,0.405,0.382,0.0705,0.00859,0.0169
2021-06-04 11:06:30,0.0827,0.113,0.325,0.239,,0.400,0.403,0.0738,0.00881,0.0183
2021-06-04 11:07:00,0.0827,0.116,0.345,0.242,,0.406,0.365,0.0707,0.00868,0.0173
2021-06-04 11:07:30,0.0781,0.113,0.331,0.209,,0.375,0.364,0.0673,0.00862,0.0160
2021-06-04 11:08:00,0.0716,0.0987,0.274,0.189,,0.325,0.336,0.0619,0.0100,0.0148
2021-06-04 11:08:30,0.0683,0.0859,0.235,0.163,,0.284,0.274,0.0534,0.0118,0.0130
