"Time","pod:adservice-w1-54886b4b47-kj9dc_service:adservice_node:worker2.novalocal","pod:cartservice-w1-86597df9d4-kdk5s_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-cg2pl_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-856dcd5b7d-sx4jl_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-mjcgv_service:frontend_node:worker2.novalocal","pod:frontend-w1-9696cf7dc-vp5vb_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-77c466b55f-m2xgk_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-fdc8c8cfc-q6ph6_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-dn9t2_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-7465dbc648-q2qvb_service:adservice_node:worker3.novalocal","pod:cartservice-w2-66c74b9599-fxr49_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-7fz65_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-678959c6bf-k4wvt_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-f5n8c_service:frontend_node:worker3.novalocal","pod:frontend-w2-6d5f969c76-rmlf7_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-784f6478c6-mc2lj_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-77c8484698-2zlgj_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-9xm9x_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-58ccc4d7fc-pgf9s_service:adservice_node:worker4.novalocal","pod:cartservice-w3-58c67c4978-ztd4m_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-6hwl7_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-6c8957555b-bgfcz_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-4spxn_service:frontend_node:worker4.novalocal","pod:frontend-w3-77ddff9d97-ttq2n_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-74f6b749-pflxg_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-99846c447-pkvd6_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-v5q2f_service:redis-cart_node:worker4.novalocal","pod:adservice-w4-7db86c7d98-zqcbf_service:adservice_node:worker5.novalocal","pod:cartservice-w4-75f86c645b-tzmvb_service:cartservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-9w9d2_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w4-78b6cb8d79-v6pwk_service:currencyservice_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-7drzx_service:frontend_node:worker5.novalocal","pod:frontend-w4-bfc5b9594-nkp7r_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w4-78d496f678-dkb6f_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w4-6975b77b48-77dkc_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w4-f4cd458fc-gmndr_service:redis-cart_node:worker5.novalocal"
2021-06-04 10:56:00,0.0650,0.0618,0.136,0.140,0.184,0.180,0.0385,0.0147,0.0166,0.0624,0.0563,0.139,0.142,0.184,0.178,0.0388,0.0163,0.00341,0.0674,0.0499,0.138,0.138,0.197,0.193,0.0339,0.0139,0.0102,0.0653,0.0650,0.136,0.145,0.184,0.181,0.0340,0.0145,0.0103
2021-06-04 10:56:30,0.0665,0.0634,0.149,0.156,0.204,0.198,0.0408,0.0143,0.0183,0.0638,0.0621,0.152,0.161,0.197,0.198,0.0404,0.0159,0.00334,0.0684,0.0516,0.149,0.147,0.208,0.201,0.0353,0.0138,0.0108,0.0630,0.0757,0.149,0.155,0.205,0.199,0.0374,0.0146,0.0107
2021-06-04 10:57:00,0.0668,0.0581,0.149,0.153,0.205,0.199,0.0397,0.0148,0.0192,0.0641,0.0604,0.152,0.150,0.205,0.200,0.0407,0.0148,0.00311,0.0678,0.0523,0.151,0.149,0.208,0.201,0.0350,0.0135,0.0104,0.0667,0.0811,0.145,0.157,0.205,0.200,0.0388,0.0144,0.00983
2021-06-04 10:57:30,0.0678,0.0529,0.150,0.147,0.205,0.199,0.0403,0.0146,0.0201,0.0635,0.0576,0.152,0.161,0.205,0.200,0.0392,0.0156,0.00318,0.0673,0.0568,0.154,0.152,0.207,0.200,0.0346,0.0133,0.0103,0.0664,0.0851,0.151,0.149,0.205,0.200,0.0399,0.0145,0.00918
2021-06-04 10:58:00,0.0662,0.0502,0.150,0.148,0.205,0.199,0.0399,0.0142,0.0200,0.0653,0.0608,0.154,0.158,0.205,0.200,0.0385,0.0156,0.00320,0.0670,0.0517,0.153,0.155,0.207,0.200,0.0348,0.0134,0.0107,0.0662,0.0865,0.155,0.143,0.205,0.201,0.0405,0.0143,0.00867
2021-06-04 10:58:30,0.0670,0.0518,0.151,0.146,0.206,0.199,0.0396,0.0144,0.0199,0.0631,0.0605,0.146,0.155,0.205,0.200,0.0357,0.0161,0.00334,0.0667,0.0501,0.160,0.154,0.207,0.199,0.0348,0.0132,0.0111,0.0663,0.0868,0.154,0.140,0.205,0.200,0.0421,0.0145,0.00882
2021-06-04 10:59:00,0.0667,0.0460,0.150,0.146,0.207,0.201,0.0381,0.0142,0.0194,0.0664,0.0700,0.157,0.157,0.205,0.200,0.0372,0.0157,0.00335,0.0666,0.0461,0.165,0.153,0.207,0.199,0.0366,0.0135,0.0126,0.0663,0.0868,0.152,0.139,0.205,0.195,0.0424,0.0143,0.00810
2021-06-04 10:59:30,0.0668,0.0408,0.148,0.146,0.208,0.201,0.0377,0.0145,0.0188,0.0629,0.0777,0.151,0.159,0.198,0.200,0.0352,0.0157,0.00335,0.0663,0.0434,0.160,0.159,0.208,0.200,0.0377,0.0136,0.0130,0.0669,0.0880,0.152,0.139,0.207,0.201,0.0409,0.0143,0.00784
2021-06-04 11:00:00,0.0669,0.0423,0.149,0.150,0.206,0.199,0.0379,0.0147,0.0190,0.0618,0.0780,0.157,0.154,0.205,0.200,0.0385,0.0157,0.00334,0.0659,0.0503,0.152,0.160,0.208,0.200,0.0379,0.0136,0.0126,0.0668,0.0844,0.158,0.137,0.206,0.200,0.0408,0.0146,0.00790
2021-06-04 11:00:30,0.0668,0.0474,0.153,0.149,0.205,0.198,0.0360,0.0143,0.0180,0.0669,0.0756,0.158,0.138,0.206,0.200,0.0377,0.0160,0.00333,0.0652,0.0469,0.153,0.155,0.208,0.200,0.0381,0.0134,0.0128,0.0665,0.0784,0.165,0.135,0.205,0.200,0.0408,0.0147,0.00868
