"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 11:18:30,0.0796,0.0978,0.244,0.234,,0.351,0.332,0.0731,0.0100,0.0152
2021-06-04 11:19:00,0.0725,0.135,0.265,0.239,,0.395,0.385,0.0776,0.00977,0.0155
2021-06-04 11:19:30,0.0760,0.125,0.280,0.242,,0.409,0.401,0.0788,0.00834,0.0161
2021-06-04 11:20:00,0.0725,0.119,0.266,0.254,,0.395,0.391,0.0730,0.00832,0.0157
2021-06-04 11:20:30,0.0736,0.128,0.238,0.303,,0.396,0.373,0.0819,0.00832,0.0153
2021-06-04 11:21:00,0.0775,0.124,0.286,0.262,,0.371,0.380,0.0820,0.00859,0.0157
2021-06-04 11:21:30,0.0772,0.118,0.272,0.262,,0.394,0.377,0.0800,0.00858,0.0158
2021-06-04 11:22:00,0.0771,0.106,0.235,0.276,,0.397,0.392,0.0821,0.00858,0.0159
2021-06-04 11:22:30,0.0793,0.116,0.243,0.286,,0.392,0.390,0.0789,0.00923,0.0156
2021-06-04 11:23:00,0.0846,0.124,0.297,0.280,,0.376,0.420,0.0741,0.00863,0.0176
2021-06-04 11:23:30,0.0835,0.112,0.300,0.293,,0.400,0.394,0.0686,0.00786,0.0173
2021-06-04 11:24:00,0.0860,0.113,0.276,0.282,,0.391,0.422,0.0709,0.00814,0.0170
