"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 13:29:00,0.0726,0.0812,0.226,0.243,0.356,0.344,0.0632,0.0123,0.0255,0.00288,0.0717,0.105,0.222,0.207,0.344,0.341,0.0469,0.0109
2021-06-06 13:29:30,0.0718,0.0849,0.224,0.239,0.358,0.345,0.0607,0.0128,0.0256,0.00289,0.0732,0.106,0.208,0.217,0.344,0.339,0.0495,0.0110
2021-06-06 13:30:00,0.0725,0.0806,0.219,0.239,0.359,0.346,0.0624,0.0126,0.0256,0.00292,0.0733,0.104,0.220,0.202,0.347,0.342,0.0504,0.0123
2021-06-06 13:30:30,0.0741,0.0809,0.223,0.244,0.358,0.346,0.0597,0.0127,0.0248,0.00290,0.0709,0.101,0.230,0.199,0.364,0.339,0.0514,0.0119
2021-06-06 13:31:00,0.0740,0.0825,0.230,0.241,0.357,0.345,0.0574,0.0124,0.0255,0.00289,0.0739,0.103,0.206,0.199,0.353,0.338,0.0524,0.0123
2021-06-06 13:31:30,0.0744,0.0771,0.243,0.228,0.360,0.348,0.0554,0.0124,0.0257,0.00290,0.0693,0.0990,0.215,0.202,0.363,0.338,0.0581,0.0111
2021-06-06 13:32:00,0.0769,0.0820,0.253,0.209,0.359,0.348,0.0534,0.0124,0.0256,0.00290,0.0700,0.104,0.243,0.188,0.375,0.329,0.0560,0.0115
2021-06-06 13:32:30,0.0777,0.0892,0.246,0.199,0.361,0.350,0.0515,0.0124,0.0257,0.00290,0.0666,0.0948,0.236,0.193,0.375,0.368,0.0565,0.0114
2021-06-06 13:33:00,0.0708,0.0912,0.239,0.209,0.361,0.349,0.0534,0.0123,0.0256,0.00289,0.0689,0.0890,0.242,0.206,0.374,0.335,0.0566,0.0121
2021-06-06 13:33:30,0.0739,0.0842,0.220,0.191,0.337,0.321,0.0488,0.0128,0.0233,0.00296,0.0729,0.0864,0.238,0.187,0.338,0.331,0.0544,0.0113
2021-06-06 13:34:00,0.0686,0.0728,0.198,0.171,0.291,0.280,0.0465,0.0133,0.0215,0.00304,0.0644,0.0769,0.205,0.170,0.301,0.289,0.0504,0.0125
2021-06-06 13:34:30,0.0653,0.0638,0.177,0.144,0.248,0.242,0.0401,0.0143,0.0188,0.00310,0.0658,0.0750,0.163,0.148,0.254,0.248,0.0440,0.0134
