"Time","pod:adservice-w1-7fb9989c58-nmp7j_service:adservice_node:worker2.novalocal","pod:cartservice-w1-8554fb6589-sn6ts_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-ww6d9_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-xfxf2_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-rggfs_service:frontend_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-xbccj_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-5996d6c5fb-4g8wb_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-879bf9458-cx22p_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-scbhx_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-f4d84d9cc-chcbs_service:adservice_node:worker3.novalocal","pod:cartservice-w2-76b99fcccd-z67mg_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-8z6qp_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-jt47g_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-86dc845df-6wvv6_service:frontend_node:worker3.novalocal","pod:frontend-w2-86dc845df-qvswj_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-67b98d986c-767v8_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-8575d4cdf-d99tk_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-snl6f_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-75b86cb844-jnvrl_service:adservice_node:worker4.novalocal","pod:cartservice-w3-75996f8bb7-9zdvz_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-kv5vj_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-xd8zw_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-59cff446cb-n9wfh_service:frontend_node:worker4.novalocal","pod:frontend-w3-59cff446cb-q7xw8_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-5966c794b6-w7psp_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-b55b4cc9b-mpgs9_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-m5hzj_service:redis-cart_node:worker4.novalocal"
2021-06-06 13:51:30,0.0787,0.0923,0.270,0.255,0.410,0.411,0.0567,0.0106,0.0265,0.0813,0.0987,0.265,0.250,0.415,0.408,0.0734,0.0109,0.0203,0.0805,0.126,0.277,0.245,0.409,0.406,0.0582,0.0104,0.00279
2021-06-06 13:52:00,0.0777,0.101,0.268,0.248,0.411,0.410,0.0582,0.0108,0.0276,0.0732,0.0949,0.254,0.240,0.417,0.391,0.0738,0.0108,0.0188,0.0813,0.122,0.280,0.257,0.408,0.405,0.0609,0.0101,0.00280
2021-06-06 13:52:30,0.0777,0.0976,0.274,0.245,0.411,0.411,0.0592,0.0108,0.0269,0.0811,0.0886,0.257,0.254,0.408,0.399,0.0693,0.0108,0.0200,0.0813,0.125,0.279,0.248,0.407,0.405,0.0627,0.00993,0.00278
2021-06-06 13:53:00,0.0781,0.0910,0.262,0.254,0.413,0.413,0.0602,0.0109,0.0272,0.0818,0.100,0.260,0.252,0.416,0.409,0.0696,0.0106,0.0192,0.0807,0.123,0.278,0.252,0.405,0.404,0.0626,0.00981,0.00277
2021-06-06 13:53:30,0.0787,0.113,0.254,0.256,0.410,0.410,0.0592,0.0108,0.0286,0.0807,0.100,0.256,0.244,0.417,0.396,0.0715,0.0101,0.0173,0.0813,0.102,0.276,0.258,0.408,0.408,0.0608,0.00999,0.00278
2021-06-06 13:54:00,0.0782,0.120,0.247,0.262,0.408,0.410,0.0592,0.0108,0.0314,0.0805,0.0991,0.251,0.250,0.398,0.409,0.0724,0.0111,0.0148,0.0811,0.0790,0.281,0.259,0.412,0.411,0.0585,0.0103,0.00281
2021-06-06 13:54:30,0.0764,0.118,0.247,0.260,0.408,0.408,0.0608,0.0109,0.0333,0.0791,0.118,0.253,0.256,0.402,0.395,0.0710,0.0110,0.0121,0.0808,0.0753,0.281,0.254,0.414,0.411,0.0594,0.0104,0.00281
2021-06-06 13:55:00,0.0762,0.124,0.253,0.258,0.405,0.408,0.0607,0.0109,0.0322,0.0818,0.107,0.256,0.262,0.415,0.388,0.0702,0.0109,0.0123,0.0806,0.0889,0.282,0.250,0.413,0.411,0.0596,0.0104,0.00280
2021-06-06 13:55:30,0.0760,0.112,0.259,0.263,0.407,0.407,0.0618,0.0107,0.0308,0.0778,0.105,0.255,0.246,0.417,0.409,0.0716,0.0109,0.0153,0.0816,0.0953,0.282,0.247,0.412,0.410,0.0568,0.0103,0.00279
2021-06-06 13:56:00,0.0739,0.103,0.242,0.238,0.381,0.385,0.0607,0.0114,0.0284,0.0783,0.104,0.250,0.244,0.393,0.391,0.0680,0.0110,0.0151,0.0803,0.0905,0.257,0.226,0.375,0.369,0.0493,0.0110,0.00291
2021-06-06 13:56:30,0.0710,0.0904,0.211,0.215,0.337,0.343,0.0547,0.0121,0.0253,0.0701,0.0918,0.216,0.214,0.347,0.341,0.0639,0.0117,0.0146,0.0761,0.0805,0.224,0.194,0.322,0.328,0.0438,0.0125,0.00302
2021-06-06 13:57:00,0.0676,0.0892,0.178,0.183,0.286,0.296,0.0495,0.0135,0.0241,0.0722,0.0724,0.185,0.182,0.283,0.277,0.0578,0.0128,0.0112,0.0733,0.0644,0.193,0.184,0.285,0.282,0.0390,0.0138,0.00315
