"Time","pod:adservice-w1-7fb9989c58-nmp7j_service:adservice_node:worker2.novalocal","pod:cartservice-w1-8554fb6589-sn6ts_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-ww6d9_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-xfxf2_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-rggfs_service:frontend_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-xbccj_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-5996d6c5fb-4g8wb_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-879bf9458-cx22p_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-scbhx_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-f4d84d9cc-chcbs_service:adservice_node:worker3.novalocal","pod:cartservice-w2-76b99fcccd-z67mg_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-8z6qp_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-jt47g_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-86dc845df-6wvv6_service:frontend_node:worker3.novalocal","pod:frontend-w2-86dc845df-qvswj_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-67b98d986c-767v8_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-8575d4cdf-d99tk_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-snl6f_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-75b86cb844-jnvrl_service:adservice_node:worker4.novalocal","pod:cartservice-w3-75996f8bb7-9zdvz_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-kv5vj_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-xd8zw_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-59cff446cb-n9wfh_service:frontend_node:worker4.novalocal","pod:frontend-w3-59cff446cb-q7xw8_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-5966c794b6-w7psp_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-b55b4cc9b-mpgs9_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-m5hzj_service:redis-cart_node:worker4.novalocal"
2021-06-06 13:06:30,0.0708,0.0823,0.175,0.182,0.283,0.273,0.0432,0.0138,0.0129,0.0691,0.0591,0.183,0.184,0.273,0.269,0.0509,0.0143,0.0210,0.0724,0.108,0.177,0.186,0.277,0.269,0.0465,0.0136,0.00341
2021-06-06 13:07:00,0.0710,0.0840,0.172,0.180,0.284,0.274,0.0434,0.0137,0.0129,0.0717,0.0573,0.182,0.188,0.281,0.269,0.0519,0.0142,0.0209,0.0712,0.104,0.182,0.181,0.277,0.270,0.0454,0.0137,0.00343
2021-06-06 13:07:30,0.0714,0.0772,0.177,0.183,0.285,0.274,0.0444,0.0138,0.0113,0.0718,0.0539,0.181,0.173,0.282,0.269,0.0529,0.0143,0.0212,0.0714,0.123,0.185,0.184,0.278,0.270,0.0448,0.0138,0.00340
2021-06-06 13:08:00,0.0717,0.0620,0.180,0.183,0.287,0.277,0.0459,0.0139,0.0106,0.0714,0.0801,0.182,0.177,0.284,0.271,0.0493,0.0140,0.0236,0.0722,0.121,0.188,0.189,0.279,0.271,0.0455,0.0133,0.00340
2021-06-06 13:08:30,0.0705,0.0706,0.179,0.182,0.285,0.277,0.0462,0.0142,0.0113,0.0671,0.0779,0.173,0.169,0.284,0.271,0.0498,0.0140,0.0222,0.0726,0.110,0.189,0.186,0.277,0.270,0.0440,0.0134,0.00338
2021-06-06 13:09:00,0.0712,0.0673,0.184,0.183,0.285,0.276,0.0472,0.0144,0.0111,0.0706,0.0834,0.174,0.166,0.283,0.258,0.0491,0.0140,0.0232,0.0726,0.107,0.186,0.185,0.276,0.269,0.0426,0.0136,0.00337
2021-06-06 13:09:30,0.0699,0.0724,0.179,0.192,0.285,0.276,0.0481,0.0149,0.0119,0.0719,0.0878,0.176,0.172,0.283,0.270,0.0492,0.0139,0.0232,0.0729,0.102,0.188,0.179,0.277,0.270,0.0432,0.0137,0.00336
2021-06-06 13:10:00,0.0692,0.0783,0.180,0.192,0.284,0.275,0.0479,0.0149,0.0121,0.0727,0.0854,0.176,0.179,0.283,0.269,0.0484,0.0138,0.0217,0.0722,0.0949,0.187,0.176,0.277,0.269,0.0434,0.0135,0.00336
2021-06-06 13:10:30,0.0690,0.0802,0.181,0.188,0.273,0.270,0.0492,0.0148,0.0124,0.0684,0.0901,0.176,0.177,0.282,0.270,0.0465,0.0137,0.0217,0.0719,0.0840,0.174,0.172,0.266,0.261,0.0404,0.0139,0.00340
2021-06-06 13:11:00,0.0661,0.0748,0.163,0.168,0.243,0.238,0.0449,0.0152,0.0120,0.0692,0.0840,0.157,0.158,0.252,0.241,0.0426,0.0143,0.0194,0.0690,0.0741,0.159,0.152,0.233,0.230,0.0369,0.0146,0.00342
2021-06-06 13:11:30,0.0641,0.0666,0.145,0.144,0.219,0.211,0.0412,0.0156,0.0108,0.0686,0.0765,0.145,0.137,0.222,0.214,0.0398,0.0151,0.0173,0.0677,0.0601,0.137,0.131,0.205,0.196,0.0342,0.0153,0.00348
2021-06-06 13:12:00,0.0622,0.0621,0.118,0.127,0.187,0.182,0.0367,0.0161,0.0104,0.0637,0.0758,0.125,0.107,0.194,0.182,0.0351,0.0158,0.0150,0.0651,0.0438,0.118,0.111,0.174,0.166,0.0310,0.0160,0.00357
