"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 16:30:00,0.0938,0.125,0.328,0.341,0.503,0.497,0.0889,0.00752,0.00186,0.0352,0.0783,0.130,0.320,0.341,0.496,0.552,0.0694,0.00820
2021-06-06 16:30:30,0.0972,0.119,0.316,0.345,0.507,0.501,0.0881,0.00754,0.00186,0.0353,0.0850,0.131,0.313,0.351,0.508,0.553,0.0698,0.00816
2021-06-06 16:31:00,0.0976,0.125,0.330,0.342,0.504,0.497,0.0831,0.00757,0.00188,0.0350,0.0771,0.120,0.335,0.355,0.505,0.525,0.0756,0.00834
2021-06-06 16:31:30,0.0958,0.139,0.333,0.331,0.503,0.496,0.0838,0.00756,0.00188,0.0348,0.0756,0.113,0.325,0.345,0.535,0.524,0.0800,0.00754
2021-06-06 16:32:00,0.0921,0.135,0.334,0.329,0.499,0.492,0.0855,0.00746,0.00186,0.0345,0.0847,0.108,0.333,0.301,0.538,0.519,0.0785,0.00766
2021-06-06 16:32:30,0.0922,0.137,0.333,0.346,0.502,0.493,0.0851,0.00754,0.00187,0.0344,0.0861,0.108,0.315,0.325,0.506,0.510,0.0708,0.00812
2021-06-06 16:33:00,0.0905,0.145,0.357,0.330,0.498,0.490,0.0877,0.00764,0.00185,0.0343,0.0872,0.0931,0.320,0.300,0.541,0.510,0.0699,0.00822
2021-06-06 16:33:30,0.0912,0.137,0.335,0.347,0.500,0.492,0.0890,0.00761,0.00186,0.0343,0.0837,0.105,0.338,0.311,0.506,0.511,0.0704,0.00754
2021-06-06 16:34:00,0.0910,0.135,0.343,0.352,0.499,0.490,0.0860,0.00749,0.00186,0.0341,0.0851,0.108,0.329,0.301,0.555,0.516,0.0688,0.00743
2021-06-06 16:34:30,0.0867,0.120,0.315,0.333,0.459,0.448,0.0806,0.00844,0.00204,0.0316,0.0848,0.122,0.336,0.306,0.499,0.502,0.0684,0.00790
2021-06-06 16:35:00,0.0784,0.133,0.282,0.281,0.404,0.393,0.0753,0.00967,0.00219,0.0283,0.0827,0.105,0.282,0.266,0.428,0.444,0.0574,0.00982
2021-06-06 16:35:30,0.0731,0.117,0.243,0.249,0.342,0.341,0.0698,0.0110,0.00237,0.0248,0.0784,0.0932,0.244,0.228,0.379,0.386,0.0513,0.0114
