"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 16:52:30,0.0891,0.113,0.366,0.324,0.506,0.501,0.0838,0.00745,0.0165,0.0205,0.0902,0.142,0.310,0.361,0.512,0.536,0.0747,0.00833
2021-06-06 16:53:00,0.0892,0.113,0.351,0.335,0.505,0.501,0.0853,0.00746,0.0160,0.0207,0.0940,0.138,0.328,0.330,0.512,0.481,0.0734,0.00753
2021-06-06 16:53:30,0.0914,0.106,0.345,0.335,0.508,0.503,0.0886,0.00748,0.0153,0.0215,0.0900,0.151,0.316,0.333,0.528,0.505,0.0678,0.00821
2021-06-06 16:54:00,0.0915,0.109,0.340,0.357,0.508,0.502,0.0853,0.00751,0.0155,0.0210,0.0839,0.141,0.316,0.299,0.509,0.505,0.0687,0.00771
2021-06-06 16:54:30,0.0939,0.109,0.333,0.355,0.508,0.502,0.0834,0.00737,0.0169,0.0205,0.0808,0.139,0.321,0.325,0.491,0.531,0.0744,0.00761
2021-06-06 16:55:00,0.0949,0.115,0.342,0.349,0.506,0.500,0.0828,0.00737,0.0163,0.0196,0.0825,0.132,0.339,0.326,0.505,0.531,0.0739,0.00771
2021-06-06 16:55:30,0.0923,0.120,0.332,0.357,0.503,0.499,0.0855,0.00730,0.0174,0.0190,0.0863,0.132,0.347,0.299,0.518,0.485,0.0665,0.00766
2021-06-06 16:56:00,0.0918,0.114,0.327,0.362,0.498,0.494,0.0898,0.00727,0.0168,0.0184,0.0764,0.134,0.330,0.305,0.544,0.556,0.0668,0.00762
2021-06-06 16:56:30,0.0911,0.128,0.309,0.366,0.498,0.493,0.0902,0.00721,0.0186,0.0169,0.0813,0.124,0.346,0.300,0.506,0.511,0.0613,0.00754
2021-06-06 16:57:00,0.0899,0.116,0.297,0.339,0.452,0.481,0.0885,0.00791,0.0171,0.0165,0.0798,0.115,0.337,0.348,0.530,0.528,0.0610,0.00817
2021-06-06 16:57:30,0.0835,0.110,0.264,0.297,0.415,0.423,0.0792,0.00855,0.0159,0.0146,0.0774,0.102,0.304,0.304,0.457,0.468,0.0549,0.00979
2021-06-06 16:58:00,0.0766,0.0959,0.233,0.258,0.373,0.359,0.0705,0.0101,0.0144,0.0135,0.0743,0.0975,0.241,0.275,0.408,0.403,0.0507,0.0111
