"Time","pod:adservice-w1-7fb9989c58-nmp7j_service:adservice_node:worker2.novalocal","pod:cartservice-w1-8554fb6589-sn6ts_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-ww6d9_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-xfxf2_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-rggfs_service:frontend_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-xbccj_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-5996d6c5fb-4g8wb_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-879bf9458-cx22p_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-scbhx_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-f4d84d9cc-chcbs_service:adservice_node:worker3.novalocal","pod:cartservice-w2-76b99fcccd-z67mg_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-8z6qp_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-jt47g_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-86dc845df-6wvv6_service:frontend_node:worker3.novalocal","pod:frontend-w2-86dc845df-qvswj_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-67b98d986c-767v8_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-8575d4cdf-d99tk_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-snl6f_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-75b86cb844-jnvrl_service:adservice_node:worker4.novalocal","pod:cartservice-w3-75996f8bb7-9zdvz_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-kv5vj_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-xd8zw_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-59cff446cb-n9wfh_service:frontend_node:worker4.novalocal","pod:frontend-w3-59cff446cb-q7xw8_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-5966c794b6-w7psp_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-b55b4cc9b-mpgs9_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-m5hzj_service:redis-cart_node:worker4.novalocal"
2021-06-06 15:38:00,0.0837,0.0834,0.289,0.273,0.450,0.445,0.0610,0.00976,0.0345,0.0814,0.172,0.234,0.284,0.412,0.418,0.0789,0.00913,0.0142,0.0845,0.0857,0.307,0.301,0.456,0.448,0.0655,0.00948,0.00248
2021-06-06 15:38:30,0.0861,0.0924,0.316,0.297,0.479,0.482,0.0659,0.00917,0.0371,0.0851,0.165,0.251,0.318,0.448,0.457,0.0882,0.00904,0.0148,0.0841,0.100,0.313,0.318,0.471,0.469,0.0644,0.00906,0.00238
2021-06-06 15:39:00,0.0851,0.0839,0.311,0.300,0.482,0.484,0.0686,0.00893,0.0358,0.0864,0.168,0.260,0.304,0.466,0.459,0.0883,0.00853,0.0182,0.0851,0.105,0.313,0.321,0.470,0.468,0.0654,0.00896,0.00239
2021-06-06 15:39:30,0.0839,0.0982,0.304,0.298,0.479,0.481,0.0679,0.00924,0.0362,0.0871,0.156,0.258,0.312,0.466,0.441,0.0885,0.00914,0.0170,0.0854,0.106,0.313,0.323,0.471,0.467,0.0630,0.00893,0.00238
2021-06-06 15:40:00,0.0855,0.102,0.297,0.323,0.476,0.477,0.0651,0.00895,0.0356,0.0868,0.148,0.276,0.289,0.454,0.464,0.0836,0.00919,0.0155,0.0842,0.0961,0.323,0.308,0.474,0.471,0.0651,0.00908,0.00239
2021-06-06 15:40:30,0.0858,0.106,0.294,0.337,0.471,0.474,0.0688,0.00882,0.0380,0.0833,0.170,0.291,0.289,0.466,0.459,0.0894,0.00853,0.0146,0.0850,0.0886,0.319,0.306,0.477,0.474,0.0595,0.00902,0.00240
2021-06-06 15:41:00,0.0857,0.115,0.295,0.336,0.472,0.472,0.0678,0.00894,0.0365,0.0867,0.141,0.269,0.277,0.469,0.462,0.0897,0.00866,0.0157,0.0839,0.0897,0.325,0.308,0.475,0.471,0.0602,0.00907,0.00241
2021-06-06 15:41:30,0.0868,0.137,0.284,0.324,0.473,0.473,0.0668,0.00904,0.0376,0.0864,0.143,0.294,0.285,0.468,0.440,0.0928,0.00918,0.0146,0.0838,0.0841,0.331,0.309,0.476,0.472,0.0613,0.00912,0.00242
2021-06-06 15:42:00,0.0863,0.156,0.271,0.328,0.471,0.472,0.0673,0.00904,0.0378,0.0857,0.119,0.298,0.285,0.467,0.461,0.0931,0.00929,0.0143,0.0850,0.0793,0.334,0.304,0.477,0.474,0.0604,0.00914,0.00243
2021-06-06 15:42:30,0.0864,0.152,0.284,0.325,0.471,0.470,0.0683,0.00916,0.0375,0.0850,0.125,0.304,0.272,0.470,0.463,0.0900,0.00927,0.0134,0.0870,0.0832,0.349,0.299,0.473,0.469,0.0630,0.00901,0.00243
2021-06-06 15:43:00,0.0870,0.151,0.263,0.323,0.474,0.474,0.0683,0.00913,0.0369,0.0829,0.108,0.297,0.257,0.471,0.453,0.0898,0.00933,0.0147,0.0871,0.0801,0.351,0.296,0.473,0.469,0.0625,0.00897,0.00243
2021-06-06 15:43:30,0.0869,0.173,0.266,0.316,0.471,0.473,0.0660,0.00930,0.0373,0.0823,0.126,0.308,0.287,0.469,0.463,0.0899,0.00866,0.0126,0.0876,0.0804,0.340,0.298,0.472,0.468,0.0614,0.00899,0.00241
