"Time","pod:adservice-w1-7fb9989c58-nmp7j_service:adservice_node:worker2.novalocal","pod:cartservice-w1-8554fb6589-sn6ts_service:cartservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-ww6d9_service:currencyservice_node:worker2.novalocal","pod:currencyservice-w1-77546c794c-xfxf2_service:currencyservice_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-rggfs_service:frontend_node:worker2.novalocal","pod:frontend-w1-7f5fccc6b6-xbccj_service:frontend_node:worker2.novalocal","pod:productcatalogservice-w1-5996d6c5fb-4g8wb_service:productcatalogservice_node:worker2.novalocal","pod:recommendationservice-w1-879bf9458-cx22p_service:recommendationservice_node:worker2.novalocal","pod:redis-cart-w1-7f4f56489b-scbhx_service:redis-cart_node:worker2.novalocal","pod:adservice-w2-f4d84d9cc-chcbs_service:adservice_node:worker3.novalocal","pod:cartservice-w2-76b99fcccd-z67mg_service:cartservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-8z6qp_service:currencyservice_node:worker3.novalocal","pod:currencyservice-w2-698d8d499b-jt47g_service:currencyservice_node:worker3.novalocal","pod:frontend-w2-86dc845df-6wvv6_service:frontend_node:worker3.novalocal","pod:frontend-w2-86dc845df-qvswj_service:frontend_node:worker3.novalocal","pod:productcatalogservice-w2-67b98d986c-767v8_service:productcatalogservice_node:worker3.novalocal","pod:recommendationservice-w2-8575d4cdf-d99tk_service:recommendationservice_node:worker3.novalocal","pod:redis-cart-w2-5c896547ff-snl6f_service:redis-cart_node:worker3.novalocal","pod:adservice-w3-75b86cb844-jnvrl_service:adservice_node:worker4.novalocal","pod:cartservice-w3-75996f8bb7-9zdvz_service:cartservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-kv5vj_service:currencyservice_node:worker4.novalocal","pod:currencyservice-w3-5ddfff94f-xd8zw_service:currencyservice_node:worker4.novalocal","pod:frontend-w3-59cff446cb-n9wfh_service:frontend_node:worker4.novalocal","pod:frontend-w3-59cff446cb-q7xw8_service:frontend_node:worker4.novalocal","pod:productcatalogservice-w3-5966c794b6-w7psp_service:productcatalogservice_node:worker4.novalocal","pod:recommendationservice-w3-b55b4cc9b-mpgs9_service:recommendationservice_node:worker4.novalocal","pod:redis-cart-w3-774d77ccc4-m5hzj_service:redis-cart_node:worker4.novalocal"
2021-06-06 17:53:30,0.0896,0.0952,0.309,0.329,0.464,0.483,0.0646,0.0105,0.0194,0.0912,0.121,0.300,0.302,0.447,0.471,0.0924,0.00865,0.0235,0.0870,0.153,0.312,0.299,0.463,0.465,0.0623,0.00992,0.0151
2021-06-06 17:54:00,0.0944,0.101,0.335,0.375,0.526,0.529,0.0714,0.00918,0.0224,0.0894,0.136,0.329,0.354,0.487,0.499,0.100,0.00920,0.0249,0.0906,0.174,0.336,0.341,0.521,0.523,0.0685,0.00862,0.0154
2021-06-06 17:54:30,0.0948,0.0966,0.359,0.378,0.543,0.544,0.0729,0.00876,0.0233,0.0948,0.140,0.334,0.366,0.523,0.501,0.107,0.00857,0.0264,0.0911,0.175,0.342,0.327,0.522,0.526,0.0688,0.00868,0.0152
2021-06-06 17:55:00,0.0960,0.0866,0.371,0.371,0.541,0.542,0.0719,0.00874,0.0236,0.0963,0.137,0.334,0.364,0.524,0.523,0.107,0.00845,0.0264,0.0904,0.180,0.345,0.328,0.521,0.524,0.0689,0.00856,0.0137
2021-06-06 17:55:30,0.0951,0.0993,0.374,0.355,0.542,0.541,0.0720,0.00877,0.0212,0.0988,0.136,0.342,0.363,0.525,0.522,0.108,0.00847,0.0280,0.0883,0.172,0.343,0.337,0.522,0.526,0.0676,0.00856,0.0166
2021-06-06 17:56:00,0.0959,0.114,0.370,0.361,0.537,0.537,0.0774,0.00875,0.0211,0.0957,0.134,0.350,0.371,0.525,0.504,0.107,0.00840,0.0242,0.0872,0.158,0.353,0.335,0.523,0.527,0.0650,0.00849,0.0183
2021-06-06 17:56:30,0.0957,0.127,0.359,0.357,0.535,0.536,0.0797,0.00870,0.0204,0.0997,0.129,0.355,0.345,0.527,0.500,0.0989,0.00862,0.0239,0.0872,0.148,0.343,0.362,0.523,0.527,0.0645,0.00859,0.0196
2021-06-06 17:57:00,0.0938,0.130,0.360,0.348,0.535,0.538,0.0785,0.00883,0.0238,0.0968,0.146,0.365,0.357,0.527,0.521,0.104,0.00844,0.0201,0.0931,0.124,0.344,0.360,0.525,0.529,0.0649,0.00865,0.0212
2021-06-06 17:57:30,0.0938,0.136,0.340,0.363,0.535,0.537,0.0799,0.00870,0.0253,0.0947,0.154,0.351,0.355,0.524,0.519,0.103,0.00847,0.0167,0.0959,0.105,0.345,0.357,0.528,0.531,0.0630,0.00858,0.0207
2021-06-06 17:58:00,0.0911,0.131,0.362,0.331,0.535,0.537,0.0821,0.00876,0.0270,0.0919,0.175,0.357,0.358,0.521,0.516,0.103,0.00843,0.0152,0.0947,0.100,0.345,0.362,0.527,0.531,0.0631,0.00846,0.0202
2021-06-06 17:58:30,0.0902,0.142,0.348,0.335,0.534,0.537,0.0851,0.00876,0.0269,0.0973,0.177,0.367,0.369,0.521,0.515,0.103,0.00829,0.0139,0.0952,0.0897,0.360,0.348,0.529,0.533,0.0612,0.00873,0.0223
2021-06-06 17:59:00,0.0905,0.140,0.355,0.324,0.535,0.538,0.0823,0.00866,0.0259,0.0936,0.166,0.365,0.362,0.520,0.499,0.103,0.00821,0.0137,0.0944,0.0909,0.356,0.368,0.528,0.531,0.0619,0.00870,0.0211
