"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 16:00:30,0.0913,0.105,0.315,0.284,0.449,0.451,0.0689,0.00852,0.0192,0.0163,0.0819,0.125,0.317,0.309,0.503,0.488,0.0792,0.00814
2021-06-06 16:01:00,0.0969,0.120,0.354,0.326,0.498,0.496,0.0779,0.00758,0.0198,0.0184,0.0800,0.133,0.328,0.356,0.512,0.509,0.0838,0.00798
2021-06-06 16:01:30,0.0991,0.126,0.352,0.323,0.501,0.495,0.0804,0.00723,0.0186,0.0191,0.0738,0.126,0.334,0.343,0.521,0.524,0.0749,0.00770
2021-06-06 16:02:00,0.0989,0.133,0.335,0.345,0.497,0.493,0.0825,0.00722,0.0173,0.0201,0.0719,0.121,0.349,0.332,0.534,0.535,0.0759,0.00785
2021-06-06 16:02:30,0.0998,0.127,0.341,0.332,0.500,0.496,0.0838,0.00736,0.0184,0.0188,0.0742,0.118,0.333,0.323,0.532,0.537,0.0760,0.00781
2021-06-06 16:03:00,0.0995,0.132,0.329,0.338,0.499,0.497,0.0803,0.00728,0.0175,0.0193,0.0737,0.119,0.335,0.330,0.507,0.515,0.0778,0.00777
2021-06-06 16:03:30,0.0980,0.139,0.351,0.330,0.495,0.494,0.0853,0.00741,0.0172,0.0201,0.0710,0.112,0.311,0.342,0.538,0.539,0.0781,0.00846
2021-06-06 16:04:00,0.0980,0.135,0.325,0.350,0.496,0.493,0.0891,0.00736,0.0165,0.0202,0.0718,0.119,0.319,0.332,0.542,0.516,0.0666,0.00776
2021-06-06 16:04:30,0.0981,0.127,0.343,0.326,0.498,0.494,0.0875,0.00722,0.0180,0.0189,0.0760,0.106,0.325,0.348,0.539,0.537,0.0735,0.00829
2021-06-06 16:05:00,0.0961,0.143,0.326,0.346,0.495,0.491,0.0864,0.00730,0.0156,0.0210,0.0789,0.113,0.351,0.323,0.511,0.541,0.0698,0.00833
2021-06-06 16:05:30,0.0951,0.130,0.332,0.334,0.499,0.492,0.0858,0.00747,0.0179,0.0199,0.0863,0.118,0.360,0.352,0.528,0.508,0.0703,0.00825
2021-06-06 16:06:00,0.0925,0.121,0.332,0.343,0.500,0.496,0.0850,0.00743,0.0187,0.0182,0.0877,0.133,0.342,0.332,0.530,0.531,0.0716,0.00827
