"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 19:01:30,0.100,0.0997,0.344,0.358,0.498,0.494,0.0909,0.00873,0.0137,0.0231,0.0846,0.171,0.361,0.358,0.541,0.503,0.0774,0.00908
2021-06-06 19:02:00,0.108,0.104,0.386,0.371,0.560,0.552,0.104,0.00729,0.0139,0.0260,0.0933,0.188,0.414,0.388,0.604,0.635,0.0828,0.00813
2021-06-06 19:02:30,0.108,0.0975,0.402,0.392,0.562,0.557,0.105,0.00703,0.0147,0.0263,0.0857,0.192,0.421,0.412,0.605,0.616,0.0888,0.00751
2021-06-06 19:03:00,0.109,0.119,0.401,0.395,0.561,0.556,0.100,0.00722,0.0165,0.0226,0.0887,0.165,0.389,0.393,0.585,0.613,0.0867,0.00757
2021-06-06 19:03:30,0.111,0.117,0.403,0.395,0.559,0.555,0.104,0.00709,0.0172,0.0223,0.0914,0.169,0.395,0.404,0.585,0.584,0.0860,0.00699
2021-06-06 19:04:00,0.112,0.107,0.392,0.398,0.560,0.556,0.104,0.00713,0.0170,0.0231,0.0931,0.166,0.372,0.405,0.640,0.617,0.0791,0.00744
2021-06-06 19:04:30,0.111,0.112,0.396,0.396,0.560,0.556,0.102,0.00707,0.0169,0.0221,0.0836,0.172,0.391,0.418,0.639,0.609,0.0855,0.00822
2021-06-06 19:05:00,0.110,0.109,0.393,0.407,0.559,0.557,0.100,0.00708,0.0163,0.0239,0.0886,0.171,0.374,0.416,0.639,0.595,0.0829,0.00816
2021-06-06 19:05:30,0.110,0.119,0.394,0.403,0.558,0.557,0.104,0.00719,0.0172,0.0228,0.0902,0.182,0.393,0.377,0.640,0.590,0.0793,0.00744
2021-06-06 19:06:00,0.109,0.112,0.409,0.400,0.559,0.557,0.102,0.00719,0.0173,0.0226,0.0891,0.166,0.388,0.390,0.612,0.618,0.0845,0.00815
2021-06-06 19:06:30,0.108,0.124,0.400,0.411,0.558,0.557,0.102,0.00730,0.0188,0.0215,0.0929,0.153,0.372,0.406,0.623,0.621,0.0814,0.00819
2021-06-06 19:07:00,0.106,0.117,0.402,0.413,0.560,0.558,0.105,0.00725,0.0170,0.0213,0.0955,0.166,0.386,0.395,0.596,0.617,0.0803,0.00762
