"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 13:17:30,0.128,0.179,,0.759,1.05,0.109,0.00791,0.0266
2021-06-08 13:18:00,0.122,0.181,,0.774,1.14,0.124,0.00637,0.0273
2021-06-08 13:18:30,0.125,0.189,,0.768,1.16,0.122,0.00663,0.0265
2021-06-08 13:19:00,0.126,0.188,,0.811,1.08,0.128,0.00686,0.0262
2021-06-08 13:19:30,0.136,0.179,,0.803,1.16,0.126,0.00691,0.0272
2021-06-08 13:20:00,0.136,0.184,,0.782,1.19,0.121,0.00743,0.0261
2021-06-08 13:20:30,0.127,0.190,,0.781,1.12,0.121,0.00745,0.0292
2021-06-08 13:21:00,0.126,0.193,,0.809,1.14,0.122,0.00686,0.0272
2021-06-08 13:21:30,0.126,0.194,,0.775,1.15,0.124,0.00704,0.0292
2021-06-08 13:22:00,0.136,0.185,,0.775,1.11,0.134,0.00710,0.0259
2021-06-08 13:22:30,0.131,0.178,,0.776,1.14,0.134,0.00767,0.0285
2021-06-08 13:23:00,0.121,0.185,,0.810,1.19,0.129,0.00761,0.0269
