"Time","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-2b7w2_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-62zcl_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-gjrph_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-gmccn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-k5gvj_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-nv5pr_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6hthj_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-d48r4_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-qmszk_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-m2qjb_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-cmsgr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-69n7r_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-779f6_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-pcq4k_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-qkcq5_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-rcgjt_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-rgp7d_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-82rj9_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-ntvls_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-vpsmm_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-wjq9m_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-rrx7l_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-4jnsc_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-5tltm_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-htkz2_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-nmxfd_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-q8wg4_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-xjqj4_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-2mmhw_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-wj2bt_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-5lk2q_service:recommendationservice_node:worker--3","pod:recommendationservice-w3-78944884d-v46bt_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-62xmd_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-7k468_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-cfxm5_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-m28b2_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-smqlx_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-mhjw6_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-qclb8_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-qq48t_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-knvll_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal"
2021-05-17 11:44:30,0.096,0.10,0.27,,0.26,,,,0.46,0.45,,0.16,0.099,0.0022,0.090,0.12,,,,0.31,,0.29,0.46,0.44,,0.22,0.088,0.0049,0.098,0.12,,,,,0.27,0.29,0.42,0.45,0.16,0.085,,0.039,0.095,0.12,0.27,0.22,,,,,0.46,0.47,0.19,0.089,0.039
2021-05-17 11:45:00,0.10,0.10,0.29,,0.28,,,,0.50,0.50,,0.18,0.11,0.0021,0.095,0.12,,,,0.32,,0.29,0.47,0.47,,0.23,0.090,0.0049,0.10,0.12,,,,,0.29,0.29,0.48,0.49,0.17,0.092,,0.042,0.10,0.13,0.28,0.25,,,,,0.52,0.53,0.20,0.089,0.039
2021-05-17 11:45:30,0.11,0.089,0.29,,0.28,,,,0.50,0.50,,0.18,0.11,0.0021,0.095,0.12,,,,0.33,,0.28,0.47,0.47,,0.23,0.091,0.0050,0.099,0.14,,,,,0.29,0.31,0.48,0.49,0.19,0.094,,0.042,0.11,0.14,0.26,0.27,,,,,0.49,0.53,0.19,0.091,0.037
2021-05-17 11:46:00,0.10,0.10,0.28,,0.29,,,,0.51,0.51,,0.18,0.10,0.0021,0.097,0.12,,,,0.33,,0.29,0.47,0.47,,0.22,0.089,0.0072,0.096,0.14,,,,,0.31,0.29,0.45,0.47,0.20,0.097,,0.042,0.11,0.13,0.29,0.26,,,,,0.52,0.51,0.18,0.091,0.037
2021-05-17 11:46:30,0.10,0.11,0.29,,0.28,,,,0.51,0.51,,0.19,0.10,0.0022,0.097,0.12,,,,0.34,,0.28,0.48,0.48,,0.22,0.092,0.0092,0.096,0.13,,,,,0.29,0.28,0.49,0.43,0.19,0.099,,0.043,0.10,0.14,0.29,0.27,,,,,0.50,0.51,0.19,0.090,0.032
2021-05-17 11:47:00,0.11,0.12,0.28,,0.27,,,,0.51,0.51,,0.19,0.10,0.0022,0.097,0.14,,,,0.33,,0.29,0.48,0.48,,0.22,0.095,0.011,0.093,0.11,,,,,0.28,0.31,0.49,0.47,0.19,0.093,,0.041,0.11,0.14,0.29,0.28,,,,,0.50,0.49,0.20,0.091,0.032
2021-05-17 11:47:30,0.11,0.12,0.29,,0.30,,,,0.51,0.51,,0.19,0.10,0.0022,0.10,0.14,,,,0.32,,0.28,0.48,0.48,,0.23,0.096,0.014,0.083,0.11,,,,,0.29,0.30,0.49,0.49,0.19,0.093,,0.037,0.11,0.15,0.29,0.26,,,,,0.50,0.53,0.20,0.094,0.030
2021-05-17 11:48:00,0.10,0.13,0.30,,0.30,,,,0.51,0.51,,0.20,0.10,0.0022,0.11,0.14,,,,0.32,,0.27,0.48,0.48,,0.22,0.097,0.019,0.091,0.10,,,,,0.29,0.29,0.49,0.45,0.19,0.093,,0.038,0.10,0.15,0.30,0.29,,,,,0.53,0.49,0.17,0.099,0.031
2021-05-17 11:48:30,0.10,0.14,0.28,,0.28,,,,0.52,0.52,,0.20,0.10,0.0022,0.11,0.12,,,,0.32,,0.29,0.48,0.48,,0.22,0.096,0.024,0.091,0.10,,,,,0.30,0.26,0.49,0.49,0.18,0.092,,0.035,0.11,0.14,0.28,0.28,,,,,0.52,0.53,0.19,0.10,0.027
2021-05-17 11:49:00,0.10,0.16,0.30,,0.29,,,,0.52,0.52,,0.20,0.10,0.0022,0.11,0.13,,,,0.32,,0.27,0.48,0.48,,0.22,0.097,0.027,0.090,0.100,,,,,0.29,0.29,0.47,0.49,0.19,0.087,,0.032,0.10,0.14,0.29,0.28,,,,,0.51,0.53,0.20,0.099,0.025
2021-05-17 11:49:30,0.100,0.17,0.30,,0.29,,,,0.52,0.52,,0.20,0.11,0.0022,0.11,0.13,,,,0.32,,0.29,0.48,0.48,,0.22,0.097,0.031,0.097,0.083,,,,,0.29,0.29,0.49,0.48,0.18,0.092,,0.032,0.099,0.13,0.28,0.29,,,,,0.49,0.51,0.19,0.097,0.023
2021-05-17 11:50:00,0.099,0.17,0.30,,0.30,,,,0.52,0.52,,0.20,0.10,0.0022,0.10,0.13,,,,0.31,,0.29,0.48,0.48,,0.22,0.099,0.035,0.10,0.087,,,,,0.30,0.30,0.49,0.49,0.17,0.096,,0.028,0.10,0.12,0.29,0.30,,,,,0.49,0.51,0.20,0.091,0.021
