"Time","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-2b7w2_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-62zcl_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-gjrph_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-gmccn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-k5gvj_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-nv5pr_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6hthj_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-d48r4_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-qmszk_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-m2qjb_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-cmsgr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-69n7r_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-779f6_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-pcq4k_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-qkcq5_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-rcgjt_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-rgp7d_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-82rj9_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-ntvls_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-vpsmm_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-wjq9m_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-rrx7l_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-4jnsc_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-5tltm_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-htkz2_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-nmxfd_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-q8wg4_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-xjqj4_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-2mmhw_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-wj2bt_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-5lk2q_service:recommendationservice_node:worker--3","pod:recommendationservice-w3-78944884d-v46bt_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-62xmd_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-7k468_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-cfxm5_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-m28b2_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-smqlx_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-mhjw6_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-qclb8_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-qq48t_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-knvll_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal"
2021-05-17 14:00:30,0.090,0.12,,0.18,0.19,,,,0.46,0.46,,0.31,0.19,0.0021,0.097,0.17,,0.20,,,,0.20,0.44,0.45,,0.30,0.17,0.034,0.11,0.084,0.18,,,,,0.19,0.43,0.44,0.25,0.17,,0.0041,0.091,0.089,0.21,0.20,,,,,0.45,0.47,0.26,0.15,0.049
2021-05-17 14:01:00,0.092,0.14,,0.20,0.20,,,,0.48,0.47,,0.33,0.19,0.0020,0.10,0.16,,0.21,,,,0.20,0.45,0.45,,0.30,0.17,0.036,0.11,0.087,0.21,,,,,0.18,0.46,0.46,0.26,0.17,,0.0043,0.095,0.095,0.21,0.21,,,,,0.49,0.48,0.27,0.15,0.049
2021-05-17 14:01:30,0.097,0.14,,0.20,0.20,,,,0.48,0.47,,0.32,0.19,0.0021,0.10,0.14,,0.20,,,,0.19,0.45,0.45,,0.30,0.17,0.037,0.10,0.096,0.20,,,,,0.20,0.42,0.44,0.24,0.17,,0.0043,0.091,0.092,0.21,0.21,,,,,0.49,0.47,0.25,0.15,0.043
2021-05-17 14:02:00,0.096,0.14,,0.20,0.19,,,,0.47,0.47,,0.32,0.18,0.0020,0.099,0.13,,0.20,,,,0.20,0.45,0.45,,0.31,0.17,0.039,0.11,0.093,0.20,,,,,0.19,0.46,0.46,0.26,0.17,,0.0043,0.093,0.11,0.21,0.22,,,,,0.50,0.49,0.27,0.15,0.043
2021-05-17 14:02:30,0.096,0.14,,0.20,0.20,,,,0.47,0.47,,0.32,0.18,0.0020,0.098,0.12,,0.18,,,,0.20,0.45,0.45,,0.32,0.17,0.039,0.11,0.093,0.21,,,,,0.20,0.45,0.44,0.27,0.17,,0.0043,0.097,0.13,0.21,0.21,,,,,0.45,0.51,0.26,0.16,0.043
2021-05-17 14:03:00,0.097,0.14,,0.21,0.19,,,,0.47,0.47,,0.32,0.18,0.0020,0.098,0.11,,0.19,,,,0.20,0.46,0.45,,0.32,0.16,0.039,0.11,0.099,0.21,,,,,0.19,0.44,0.46,0.27,0.18,,0.0043,0.098,0.13,0.19,0.21,,,,,0.49,0.49,0.27,0.16,0.040
2021-05-17 14:03:30,0.096,0.12,,0.22,0.19,,,,0.47,0.47,,0.32,0.18,0.0020,0.099,0.12,,0.19,,,,0.19,0.46,0.46,,0.32,0.17,0.038,0.11,0.11,0.20,,,,,0.21,0.45,0.46,0.27,0.17,,0.0040,0.094,0.13,0.20,0.20,,,,,0.49,0.51,0.24,0.16,0.044
2021-05-17 14:04:00,0.096,0.12,,0.21,0.19,,,,0.48,0.47,,0.32,0.18,0.0021,0.097,0.12,,0.19,,,,0.20,0.46,0.45,,0.32,0.16,0.038,0.10,0.10,0.19,,,,,0.20,0.44,0.44,0.26,0.17,,0.0043,0.094,0.14,0.20,0.22,,,,,0.47,0.49,0.26,0.16,0.041
2021-05-17 14:04:30,0.098,0.12,,0.20,0.20,,,,0.48,0.47,,0.32,0.18,0.0021,0.097,0.12,,0.18,,,,0.20,0.46,0.46,,0.32,0.17,0.037,0.11,0.11,0.20,,,,,0.20,0.46,0.46,0.28,0.17,,0.0040,0.096,0.14,0.18,0.20,,,,,0.49,0.49,0.25,0.17,0.043
2021-05-17 14:05:00,0.099,0.13,,0.22,0.20,,,,0.47,0.47,,0.32,0.18,0.0021,0.096,0.11,,0.19,,,,0.19,0.46,0.46,,0.32,0.17,0.038,0.11,0.12,0.19,,,,,0.20,0.42,0.46,0.28,0.17,,0.0042,0.099,0.12,0.20,0.21,,,,,0.48,0.51,0.24,0.18,0.044
2021-05-17 14:05:30,0.099,0.13,,0.22,0.20,,,,0.47,0.47,,0.31,0.18,0.0021,0.096,0.11,,0.19,,,,0.19,0.46,0.46,,0.32,0.16,0.038,0.11,0.12,0.20,,,,,0.20,0.44,0.46,0.28,0.17,,0.0043,0.10,0.12,0.19,0.21,,,,,0.47,0.51,0.24,0.17,0.044
2021-05-17 14:06:00,0.099,0.14,,0.21,0.19,,,,0.47,0.47,,0.31,0.18,0.0021,0.091,0.12,,0.19,,,,0.21,0.46,0.46,,0.32,0.16,0.039,0.11,0.12,0.19,,,,,0.21,0.46,0.46,0.27,0.16,,0.0042,0.099,0.11,0.19,0.19,,,,,0.49,0.49,0.24,0.16,0.043
