"Time","pod:adservice-f8889f7f6-9zx54_service:adservice_node:worker--1.novalocal","pod:cartservice-6dbb545b6b-h6n26_service:cartservice_node:worker--1.novalocal","pod:checkoutservice-56767b8d85-gntj5_service:checkoutservice_node:worker--1.novalocal","pod:currencyservice-69688b568f-9rrcn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-69688b568f-sdb58_service:currencyservice_node:worker--1.novalocal","pod:frontend-5f588cbb54-b2blk_service:frontend_node:worker--1.novalocal","pod:frontend-5f588cbb54-n4lxl_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-68fb699cf7-wd52c_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-659d8578c8-89t4p_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-79479c85b5-5xkpf_service:redis-cart_node:worker--1.novalocal","pod:shippingservice-6c4f446b6b-ggqk2_service:shippingservice_node:worker--1.novalocal","pod:adservice-f8889f7f6-xjxdj_service:adservice_node:worker--2.novalocal","pod:cartservice-6dbb545b6b-wlnpm_service:cartservice_node:worker--2.novalocal","pod:currencyservice-69688b568f-96hgf_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-69688b568f-ttptq_service:currencyservice_node:worker--2.novalocal","pod:frontend-5f588cbb54-4mbcp_service:frontend_node:worker--2.novalocal","pod:frontend-5f588cbb54-rj2pc_service:frontend_node:worker--2.novalocal","pod:paymentservice-7c47565f9d-rtmrd_service:paymentservice_node:worker--2.novalocal","pod:productcatalogservice-68fb699cf7-xw2zz_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-659d8578c8-qwbg7_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-79479c85b5-6w7tb_service:redis-cart_node:worker--2.novalocal","pod:adservice-f8889f7f6-29wxz_service:adservice_node:worker--3","pod:cartservice-6dbb545b6b-g7ll6_service:cartservice_node:worker--3","pod:currencyservice-69688b568f-9m7lq_service:currencyservice_node:worker--3","pod:currencyservice-69688b568f-r8rq6_service:currencyservice_node:worker--3","pod:frontend-5f588cbb54-46pdk_service:frontend_node:worker--3","pod:frontend-5f588cbb54-hjzwt_service:frontend_node:worker--3","pod:productcatalogservice-68fb699cf7-fxrwq_service:productcatalogservice_node:worker--3","pod:recommendationservice-659d8578c8-wcwsg_service:recommendationservice_node:worker--3","pod:redis-cart-79479c85b5-gdbjc_service:redis-cart_node:worker--3","pod:adservice-f8889f7f6-qbcp4_service:adservice_node:worker--4.novalocal","pod:cartservice-6dbb545b6b-h8cbz_service:cartservice_node:worker--4.novalocal","pod:currencyservice-69688b568f-8hrw7_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-69688b568f-kg788_service:currencyservice_node:worker--4.novalocal","pod:emailservice-74767bf8cc-4mzjz_service:emailservice_node:worker--4.novalocal","pod:frontend-5f588cbb54-7d8f9_service:frontend_node:worker--4.novalocal","pod:frontend-5f588cbb54-968r4_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-68fb699cf7-wkzgf_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-659d8578c8-fj7vs_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-79479c85b5-cx2rt_service:redis-cart_node:worker--4.novalocal"
2021-05-14 11:16:30,0.091,0.16,0.0045,0.29,0.31,0.57,0.56,0.19,0.10,0.0023,0.0067,0.11,0.13,0.33,0.31,0.47,0.47,0.0036,0.23,0.11,0.019,0.11,0.11,0.30,0.29,0.48,0.48,0.18,0.084,0.0043,0.087,0.12,0.29,0.29,0.0088,0.49,0.50,0.22,0.099,0.062
2021-05-14 11:17:00,0.092,0.16,0.0045,0.29,0.31,0.57,0.56,0.18,0.10,0.0023,0.0067,0.11,0.13,0.32,0.31,0.47,0.47,0.0036,0.22,0.11,0.019,0.11,0.11,0.32,0.28,0.47,0.48,0.19,0.079,0.0043,0.090,0.099,0.28,0.27,0.0080,0.53,0.53,0.21,0.11,0.061
2021-05-14 11:17:30,0.093,0.15,0.0045,0.29,0.30,0.57,0.56,0.18,0.10,0.0023,0.0067,0.11,0.13,0.33,0.31,0.47,0.47,0.0035,0.23,0.11,0.020,0.11,0.11,0.33,0.28,0.47,0.48,0.18,0.082,0.0043,0.091,0.10,0.29,0.27,0.0080,0.53,0.50,0.21,0.11,0.062
2021-05-14 11:18:00,0.093,0.15,0.0045,0.29,0.31,0.57,0.56,0.18,0.10,0.0023,0.0067,0.11,0.13,0.31,0.31,0.47,0.48,0.0035,0.22,0.11,0.019,0.11,0.11,0.31,0.30,0.48,0.48,0.18,0.082,0.0043,0.089,0.12,0.29,0.26,0.0088,0.52,0.52,0.21,0.10,0.063
2021-05-14 11:18:30,0.094,0.14,0.0043,0.30,0.32,0.57,0.56,0.17,0.10,0.0023,0.0066,0.11,0.14,0.30,0.31,0.47,0.48,0.0035,0.23,0.11,0.019,0.11,0.10,0.32,0.28,0.48,0.47,0.18,0.082,0.0043,0.092,0.12,0.29,0.28,0.0089,0.52,0.50,0.21,0.11,0.061
2021-05-14 11:19:00,0.093,0.16,0.0044,0.30,0.30,0.57,0.56,0.18,0.10,0.0024,0.0067,0.11,0.13,0.32,0.31,0.47,0.48,0.0035,0.23,0.11,0.019,0.11,0.11,0.32,0.29,0.48,0.49,0.18,0.081,0.0043,0.094,0.11,0.27,0.28,0.0083,0.49,0.49,0.23,0.11,0.061
2021-05-14 11:19:30,0.094,0.16,0.0045,0.30,0.30,0.57,0.56,0.19,0.10,0.0024,0.0067,0.11,0.14,0.31,0.32,0.47,0.48,0.0035,0.22,0.11,0.019,0.11,0.10,0.33,0.29,0.48,0.49,0.18,0.084,0.0048,0.089,0.12,0.30,0.28,0.0083,0.52,0.53,0.21,0.11,0.065
2021-05-14 11:20:00,0.096,0.15,0.0045,0.30,0.31,0.57,0.56,0.19,0.098,0.0023,0.0067,0.11,0.13,0.31,0.30,0.47,0.47,0.0034,0.22,0.10,0.020,0.11,0.10,0.34,0.30,0.46,0.49,0.18,0.086,0.0064,0.089,0.12,0.27,0.28,0.0083,0.51,0.52,0.22,0.11,0.063
2021-05-14 11:20:30,0.096,0.15,0.0046,0.31,0.31,0.57,0.57,0.19,0.099,0.0024,0.0065,0.11,0.11,0.31,0.31,0.47,0.47,0.0034,0.22,0.10,0.022,0.11,0.12,0.33,0.31,0.47,0.48,0.18,0.092,0.0090,0.089,0.13,0.27,0.26,0.0090,0.50,0.52,0.22,0.10,0.058
2021-05-14 11:21:00,0.097,0.14,0.0046,0.30,0.32,0.57,0.57,0.19,0.100,0.0024,0.0066,0.11,0.11,0.31,0.31,0.47,0.47,0.0034,0.22,0.10,0.023,0.12,0.13,0.35,0.27,0.48,0.48,0.19,0.094,0.011,0.085,0.14,0.29,0.26,0.0084,0.52,0.52,0.23,0.10,0.054
