"Time","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-gxjpn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-k5gvj_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-vqwfl_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-wssc7_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-qmszk_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-zmqtn_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-b74w6_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-7g55f_service:adservice_node:worker--2.novalocal","pod:adservice-w2-9f97cf96-cmsgr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-5qp48_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-h7w9d_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-khglf_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-6545r_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-vpsmm_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-m5tlc_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-q2wxz_service:adservice_node:worker--3","pod:adservice-w3-754d7d8cd4-rrx7l_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-729g6_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-x62zq_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-wj2bt_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-xf62z_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-zztmz_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-v46bt_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-4mcfd_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-b9pcz_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-vt85n_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-4gcwx_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-mhjw6_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-hfb6s_service:recommendationservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-knvll_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal"
2021-05-19 21:27:30,0.11,0.12,,,0.35,0.37,0.60,0.58,0.22,0.092,0.0022,0.11,,0.17,,0.37,0.36,0.56,0.56,0.22,0.097,0.0046,0.12,,0.12,0.35,0.38,,0.53,0.55,0.17,0.090,0.022,0.11,0.14,0.36,0.35,,0.57,0.57,0.19,0.091,,0.067
2021-05-19 21:28:00,0.11,0.13,,,0.35,0.38,0.60,0.61,0.22,0.090,0.0021,0.12,,0.17,,0.38,0.37,0.56,0.56,0.22,0.098,0.0045,0.12,,0.11,0.35,0.38,,0.55,0.56,0.19,0.096,0.021,0.11,0.14,0.36,0.35,,0.56,0.61,0.20,0.098,,0.068
2021-05-19 21:28:30,0.11,0.13,,,0.36,0.38,0.60,0.61,0.21,0.087,0.0021,0.12,,0.18,,0.37,0.36,0.56,0.56,0.23,0.097,0.0046,0.12,,0.11,0.36,0.38,,0.55,0.56,0.19,0.099,0.019,0.11,0.14,0.38,0.36,,0.58,0.59,0.20,0.100,,0.070
2021-05-19 21:29:00,0.11,0.14,,,0.36,0.38,0.60,0.61,0.22,0.086,0.0021,0.11,,0.16,,0.37,0.37,0.56,0.56,0.22,0.097,0.0046,0.12,,0.11,0.35,0.36,,0.56,0.56,0.18,0.100,0.020,0.12,0.14,0.35,0.34,,0.56,0.58,0.18,0.092,,0.072
2021-05-19 21:29:30,0.11,0.14,,,0.37,0.37,0.60,0.61,0.22,0.088,0.0022,0.11,,0.16,,0.38,0.36,0.56,0.56,0.21,0.096,0.0046,0.12,,0.11,0.36,0.38,,0.55,0.56,0.20,0.100,0.021,0.12,0.13,0.38,0.36,,0.61,0.57,0.19,0.097,,0.072
2021-05-19 21:30:00,0.12,0.14,,,0.36,0.36,0.60,0.61,0.22,0.087,0.0022,0.11,,0.16,,0.38,0.37,0.56,0.56,0.22,0.094,0.0045,0.13,,0.12,0.35,0.37,,0.55,0.54,0.21,0.10,0.021,0.10,0.13,0.37,0.36,,0.58,0.56,0.19,0.096,,0.067
2021-05-19 21:30:30,0.12,0.15,,,0.37,0.36,0.60,0.61,0.22,0.090,0.0022,0.11,,0.16,,0.38,0.38,0.56,0.56,0.22,0.094,0.0045,0.12,,0.12,0.37,0.36,,0.55,0.56,0.21,0.10,0.021,0.10,0.13,0.37,0.36,,0.59,0.56,0.20,0.098,,0.066
2021-05-19 21:31:00,0.12,0.13,,,0.37,0.37,0.60,0.61,0.22,0.091,0.0022,0.11,,0.16,,0.38,0.38,0.56,0.56,0.23,0.094,0.0045,0.12,,0.10,0.35,0.35,,0.54,0.56,0.21,0.10,0.023,0.098,0.14,0.38,0.34,,0.57,0.55,0.19,0.085,,0.066
2021-05-19 21:31:30,0.12,0.14,,,0.38,0.37,0.60,0.61,0.21,0.092,0.0022,0.11,,0.16,,0.38,0.38,0.56,0.56,0.24,0.092,0.0045,0.12,,0.11,0.37,0.36,,0.56,0.56,0.20,0.10,0.024,0.11,0.15,0.36,0.34,,0.58,0.57,0.17,0.096,,0.067
2021-05-19 21:32:00,0.12,0.15,,,0.37,0.39,0.60,0.60,0.21,0.093,0.0022,0.11,,0.15,,0.38,0.38,0.56,0.56,0.24,0.092,0.0045,0.12,,0.11,0.36,0.36,,0.56,0.56,0.21,0.10,0.026,0.11,0.15,0.34,0.36,,0.57,0.54,0.17,0.10,,0.067
2021-05-19 21:32:30,0.12,0.15,,,0.37,0.37,0.60,0.60,0.21,0.093,0.0022,0.11,,0.15,,0.38,0.38,0.56,0.56,0.24,0.094,0.0044,0.12,,0.12,0.38,0.37,,0.56,0.56,0.20,0.096,0.029,0.11,0.15,0.33,0.38,,0.59,0.56,0.18,0.096,,0.058
2021-05-19 21:33:00,0.12,0.15,,,0.37,0.37,0.60,0.60,0.22,0.094,0.0022,0.12,,0.15,,0.38,0.39,0.56,0.56,0.23,0.093,0.0044,0.12,,0.12,0.38,0.35,,0.53,0.56,0.20,0.096,0.031,0.099,0.13,0.35,0.36,,0.56,0.61,0.18,0.096,,0.061
